Generation,Population,Orders,Trades,Positions,Fees (USDT),RealizedProfits (USDT),ROI,Price Interval for JMA etc.,Hard Exit Now,Soft Exit Now,dca_gap_modifier (0.5x - 1.5x),above_this_adx_means_trending (ex: 25),jma_percent_tp_offset (ex: 0.10),jma_period_length,tp_percent_offset,rsi RSI Length,rsi SMA Length,rsi Buy Level,rsi Sell Level
9,8,409,389,142,4.12076884,5.7666311600002,161.4108%,1,False,False,1.2,24,0.13,19,0.23,8,3,30,55
9,7,322,307,105,3.3275846,3.4176154000008,87.9319%,1,False,False,0.9,24,0.16,15,0.23,14,3,30,55
9,6,366,339,113,3.76523196,-6.4604319599998,-157.6181%,1,False,False,1,22,0.13,16,0.25,16,3,30,55
9,5,475,445,153,4.92927668,-8.2642766799994,-207.7249%,1,False,False,1.2,22,0.08,17,0.24,16,3,30,55
9,4,390,361,129,3.8787098,-6.719309799999,-181.6125%,1,False,False,1.1,18,0.12,15,0.23,16,3,30,55
9,3,526,497,173,5.46997644,-6.1897764399976,-158.3973%,1,False,False,1.2,18,0.08,15,0.22,14,3,30,55
9,2,289,275,93,3.00605304,-5.3822530400006,-135.989%,1,False,False,1,18,0.16,15,0.22,18,3,30,55
9,1,375,356,129,3.77271412,2.3408858799998,65.1253%,1,False,False,1,18,0.15,19,0.23,8,3,30,55
8,100,479,450,155,4.95366444,-0.02306444,-0.5846%,1,False,False,1.1,22,0.1,15,0.26,10,3,30,55
8,99,493,479,174,5.12009708,-1.7704970800002,-48.7259%,1,False,False,1,20,0.11,15,0.22,6,3,30,55
8,98,403,377,135,4.03693416,7.6834658400004,208.7854%,1,False,False,1.2,24,0.13,19,0.26,8,3,30,55
8,97,411,386,136,4.17217736,7.8622226399998,208.1363%,1,False,False,1.1,24,0.13,19,0.26,8,3,30,55
8,96,328,305,107,3.2727284,4.2968715999998,114.5961%,1,False,False,1.2,24,0.15,15,0.26,8,3,30,55
